,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
138,frc4130,4130,The Blue Devils,2.0,mibel,2mibel,4.0,miliv,4miliv,32.74,0.6695,43,0.9159
139,frc4216,4216,Blue Ops Robotics,2.0,mibkn,2mibkn,1.0,misjo,1misjo,14.72,0.5185,248,0.5147
140,frc4237,4237,Team Lance-A-Bot,2.0,miber,2miber,1.0,misjo,1misjo,32.09,0.5873,51,0.9002
141,frc4325,4325,RoboRangers,2.0,miber,2miber,1.0,misjo,1misjo,16.36,0.5,226,0.5577
142,frc4327,4327,Q Branch,0.0,bcvi,0bcvi,4.0,mibig,4mibig,17.29,0.4634,211,0.5871
143,frc4362,4362,CSPA Gems,0.0,mimil,0mimil,3.0,mitry,3mitry,44.92,0.7571,5,0.9902
144,frc4375,4375,Westend Gearbusters,1.0,miesc,1miesc,3.0,milsu,3milsu,18.1,0.5,195,0.6184
145,frc4377,4377,Boyne City Blaze,0.0,milac,0milac,3.0,milsu,3milsu,18.05,0.5313,196,0.6164
146,frc4381,4381,Twisted Devils,0.0,mibat,0mibat,2.0,miber,2miber,27.1,0.5614,86,0.8317
147,frc4384,4384,Benzene Bots,0.0,mibat,0mibat,3.0,mitry,3mitry,1.51,0.44,510,0.002
148,frc4390,4390,ATA Coregears,4.0,midet,4midet,2.0,midtr,2midtr,8.64,0.375,399,0.2192
149,frc4391,4391,BraveBots,1.0,miesc,1miesc,3.0,milsu,3milsu,45.11,0.8281,4,0.9922
150,frc4392,4392,The Deceivers,3.0,milsu,3milsu,0.0,mimil,0mimil,28.5,0.6339,77,0.8493
151,frc4395,4395,Dundee Vi-Borgs,1.0,mike2,1mike2,3.0,misal,3misal,10.61,0.4615,339,0.3366
152,frc4398,4398,Gladiators,3.0,milsu,3milsu,2.0,mitvc,2mitvc,15.64,0.4038,233,0.544
153,frc4405,4405,The Atoms Family,2.0,mibel,2mibel,4.0,midet,4midet,30.89,0.5189,59,0.8845
154,frc4422,4422,Twisted Angels,0.0,mibat,0mibat,2.0,miber,2miber,19.45,0.6512,170,0.6673
155,frc4453,4453,The Red Hot Chili Bots,0.0,mibat,0mibat,3.0,mimas,3mimas,10.26,0.4884,346,0.3229
156,frc453,453,Rockem Sockem Robotics,1.0,mike2,1mike2,4.0,mimcc,4mimcc,6.13,0.2917,459,0.1018
157,frc4568,4568,Robot Commander,2.0,mibkn,2mibkn,3.0,misal,3misal,5.82,0.375,464,0.092
158,frc4680,4680,AzTech Eagles,2.0,midtr,2midtr,0.0,mifer,0mifer,10.91,0.4828,327,0.3601
159,frc469,469,Las Guerrillas,2.0,midtr,2midtr,3.0,mitry,3mitry,23.05,0.5667,128,0.7495
160,frc4737,4737,Atomigators,2.0,mibel,2mibel,4.0,miliv,4miliv,9.81,0.3333,361,0.2935
161,frc4758,4758,RoboBlazers,2.0,midtr,2midtr,,,,5.0,0.2917,479,0.0626
162,frc4768,4768,"Cody ""The Green Comet""",3.0,mibro,3mibro,4.0,midet,4midet,14.72,0.5161,249,0.5127
163,frc4776,4776,S.C.O.T.S. Bots,3.0,mimas,3mimas,2.0,mimus,2mimus,19.25,0.6207,172,0.6634
164,frc4779,4779,RoboSapiens,2.0,mibel,2mibel,0.0,mimil,0mimil,33.04,0.6583,40,0.9217
165,frc4810,4810,I AM Robot,0.0,mibat,0mibat,4.0,mimcc,4mimcc,19.07,0.5556,174,0.6595
166,frc4827,4827,Minerbotics,1.0,miesc,1miesc,,,,9.77,0.4583,363,0.2896
167,frc4835,4835,Junkyard Dawgs,4.0,mibig,4mibig,1.0,miesc,1miesc,14.71,0.5,250,0.5108
168,frc4851,4851,JungleBots,4.0,midet,4midet,2.0,midtr,2midtr,11.43,0.5,320,0.3738
169,frc4854,4854,Trobots,3.0,mibro,3mibro,4.0,midet,4midet,5.3,0.4583,474,0.0724
170,frc4855,4855,Ramageddon,2.0,miber,2miber,4.0,miken,4miken,18.51,0.5484,183,0.6419
